model	objective	gene	status	value
./model.xml	obj	G_b0576	optimal	0.8769972144269644
./model.xml	obj	G_b0577	optimal	0.8769972144269683
./model.xml	obj	G_b0578	optimal	0.8769972144269691
./model.xml	obj	G_b0583	optimal	0.876997214426969
./model.xml	obj	G_b0584	optimal	0.8769972144269672
./model.xml	obj	G_b0585	optimal	0.8769972144269694
./model.xml	obj	G_b0586	optimal	0.8769972144269631
./model.xml	obj	G_b0588	optimal	0.876997214426974
./model.xml	obj	G_b0589	optimal	0.8769972144269701
./model.xml	obj	G_b0590	optimal	0.8769972144303178
./model.xml	obj	G_b0591	optimal	0.8769972144269631
./model.xml	obj	G_b0592	optimal	0.8769972144269632
./model.xml	obj	G_b0593	optimal	0.8769972144269594
./model.xml	obj	G_b0594	optimal	0.8769972144269722
./model.xml	obj	G_b0595	optimal	0.8769972144269723
./model.xml	obj	G_b0596	optimal	0.8769972144368758
./model.xml	obj	G_b0597	optimal	0.8769972144269711
./model.xml	obj	G_b0604	optimal	0.8769972144269693
./model.xml	obj	G_b0605	optimal	0.8769972144269667
./model.xml	obj	G_b0606	optimal	0.8769972144269738
./model.xml	obj	G_b0612	optimal	0.8769972144269652
./model.xml	obj	G_b0613	optimal	0.8769972144269677
./model.xml	obj	G_b0614	optimal	0.8769972144269715
./model.xml	obj	G_b0615	optimal	0.8769972144269752
./model.xml	obj	G_b0616	optimal	0.876997214426973
./model.xml	obj	G_b0617	optimal	0.8769972144269746
./model.xml	obj	G_b0621	optimal	0.876997214426973
./model.xml	obj	G_b0622	optimal	0.8769972144269645
./model.xml	obj	G_b0624	optimal	0.8769972144269644
./model.xml	obj	G_b0628	optimal	0.8769972144269675
./model.xml	obj	G_b0630	optimal	0.8769972144269735
./model.xml	obj	G_b0632	optimal	0.8769972144269712
./model.xml	obj	G_b0635	optimal	-4.2122289520744413e-16
./model.xml	obj	G_b0638	optimal	0.8769972144269733
./model.xml	obj	G_b0639	optimal	0.0
./model.xml	obj	G_b0641	optimal	2.7388475742636093e-16
./model.xml	obj	G_b0650	optimal	0.876997214426967
./model.xml	obj	G_b0651	optimal	0.8769972144269691
./model.xml	obj	G_b0652	optimal	0.8769972144269712
./model.xml	obj	G_b0653	optimal	0.8769972144269618
./model.xml	obj	G_b0654	optimal	0.8769972144269694
./model.xml	obj	G_b0655	optimal	0.8769972144269752
./model.xml	obj	G_b0657	optimal	0.8769972144269786
./model.xml	obj	G_b0662	optimal	0.8769972144269735
./model.xml	obj	G_b0674	optimal	0.8769972144269752
./model.xml	obj	G_b0675	optimal	0.8769972144269723
./model.xml	obj	G_b0677	optimal	0.8769972144269683
./model.xml	obj	G_b0678	optimal	0.8769972144269644
./model.xml	obj	G_b0679	optimal	0.8769972144269683
./model.xml	obj	G_b0681	optimal	0.8769972144269723
./model.xml	obj	G_b0684	optimal	0.8769972144269667
./model.xml	obj	G_b0688	optimal	0.8769972144269758
./model.xml	obj	G_b0692	optimal	0.8769972144269677
./model.xml	obj	G_b0693	optimal	0.876997214426973
./model.xml	obj	G_b0696	optimal	0.8769972144269786
./model.xml	obj	G_b0697	optimal	0.8769972144269726
./model.xml	obj	G_b0698	optimal	0.8769972144269683
./model.xml	obj	G_b0709	optimal	0.8769972144269734
./model.xml	obj	G_b0720	optimal	-2.0083180059042703e-15
./model.xml	obj	G_b0721	optimal	0.8418157926999577
./model.xml	obj	G_b0722	optimal	0.8418157926999632
./model.xml	obj	G_b0723	optimal	0.8418157926999612
./model.xml	obj	G_b0724	optimal	0.8418157926999567
./model.xml	obj	G_b0726	optimal	0.8633703561644549
./model.xml	obj	G_b0727	optimal	0.8633703561644689
./model.xml	obj	G_b0728	optimal	0.8651154798175299
./model.xml	obj	G_b0729	optimal	0.8651154798175161
./model.xml	obj	G_b0731	optimal	0.8769972144269688
./model.xml	obj	G_b0732	optimal	0.8769972144269715
./model.xml	obj	G_b0733	optimal	0.8769972144269789
./model.xml	obj	G_b0734	optimal	0.8769972144269694
./model.xml	obj	G_b0750	optimal	-4.889934486661896e-16
./model.xml	obj	G_b0751	optimal	0.8769972144269743
./model.xml	obj	G_b0752	optimal	0.8769972144269591
./model.xml	obj	G_b0754	optimal	0.8769972144269683
./model.xml	obj	G_b0755	optimal	0.876997214426976
./model.xml	obj	G_b0756	optimal	0.876997214426971
./model.xml	obj	G_b0757	optimal	0.8769972144271828
./model.xml	obj	G_b0758	optimal	0.876997214426974
./model.xml	obj	G_b0759	optimal	0.8769972144269631
./model.xml	obj	G_b0763	optimal	0.876997214426974
./model.xml	obj	G_b0764	optimal	0.876997214426973
./model.xml	obj	G_b0765	optimal	0.8769972144269746
./model.xml	obj	G_b0766	optimal	0.8769972144269672
./model.xml	obj	G_b0767	optimal	0.8733978405117898
./model.xml	obj	G_b0774	optimal	0.0
./model.xml	obj	G_b0775	optimal	6.776263096586254e-15
./model.xml	obj	G_b0776	optimal	0.0
./model.xml	obj	G_b0777	optimal	0.0
./model.xml	obj	G_b0778	optimal	1.093848141563643e-17
./model.xml	obj	G_b0781	optimal	0.8769972144269746
./model.xml	obj	G_b0783	optimal	0.8769972144269688
./model.xml	obj	G_b0784	optimal	0.8769972144269647
