Rxn name	Formula	Gene-reaction association	LB	UB	Objective
R_CO2tex	CO2 CO2[e] <=> CO2 CO2[p] 	G_b0241 or G_b0929 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_CO2tpp	CO2 CO2[p] <=> CO2 CO2[c] 	G_s0001	-1000.00	1000.00	  0.00
R_COBALT2abcpp	ATP C10H12N5O13P3[c] + Co2+[c] + H2O H2O[c] => ADP C10H12N5O10P2[c] + Co2+[p] + H+[c] + Phosphate[c] 	G_b3469	  0.00	1000.00	  0.00
R_COBALT2t3pp	Co2+[c] + H+[p] => Co2+[p] + H+[c] 	G_b0752 or G_b3915	  0.00	1000.00	  0.00
R_COBALT2tex	Co2+[e] <=> Co2+[p] 	G_b0241 or G_b0929 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_COBALT2tpp	Co2+[p] => Co2+[c] 	G_b3040 or G_b3816	  0.00	1000.00	  0.00
R_COLIPAKpp	Core oligosaccharide lipid A[p] + Undecaprenyl diphosphate[p] => Core oligosaccharide lipid A diphosphate[p] + Undecaprenyl phosphate[p] 	G_b2174	  0.00	1000.00	  0.00
R_COLIPAPabctex	ATP C10H12N5O13P3[c] + Core oligosaccharide lipid A diphosphate[p] + H2O H2O[c] => ADP C10H12N5O10P2[c] + Core oligosaccharide lipid A diphosphate[e] + H+[c] + Phosphate[c] 	G_b4262 and G_b4261 and G_b3199 and G_b3201 and G_b3200 and G_b0054 and G_b0641	  0.00	1000.00	  0.00
R_COLIPAabcpp	ATP C10H12N5O13P3[c] + Core oligosaccharide lipid A[c] + H2O H2O[c] => ADP C10H12N5O10P2[c] + Core oligosaccharide lipid A[p] + H+[c] + Phosphate[c] 	G_b0914	  0.00	1000.00	  0.00
R_COLIPAabctex	ATP C10H12N5O13P3[c] + Core oligosaccharide lipid A[p] + H2O H2O[c] => ADP C10H12N5O10P2[c] + Core oligosaccharide lipid A[e] + H+[c] + Phosphate[c] 	G_b0641 and G_b3200 and G_b4262 and G_b3201 and G_b3199 and G_b0054 and G_b4261	  0.00	1000.00	  0.00
R_CPGNR1	2 Coprogen[c] + Flavin adenine dinucleotide reduced[c] => 2 Coprogen unloaded (no Fe(III))[c] + Flavin adenine dinucleotide oxidized[c] + 2 Fe2+ mitochondria[c] + 2 H+[c] 		  0.00	1000.00	  0.00
R_CPGNR2	2 Coprogen[c] + Reduced FMN[c] => 2 Coprogen unloaded (no Fe(III))[c] + 2 Fe2+ mitochondria[c] + FMN C17H19N4O9P[c] + 2 H+[c] 		  0.00	1000.00	  0.00
R_CPGNR3	2 Coprogen[c] + Reduced riboflavin[c] => 2 Coprogen unloaded (no Fe(III))[c] + 2 Fe2+ mitochondria[c] + 2 H+[c] + Riboflavin C17H20N4O6[c] 		  0.00	1000.00	  0.00
R_CPGNUtex	Coprogen unloaded (no Fe(III))[p] + H+[p] => Coprogen unloaded (no Fe(III))[e] + H+[c] 		  0.00	1000.00	  0.00
R_CPGNUtpp	Coprogen unloaded (no Fe(III))[c] + H+[p] => Coprogen unloaded (no Fe(III))[p] + H+[c] 		  0.00	1000.00	  0.00
R_CPGNabcpp	ATP C10H12N5O13P3[c] + Coprogen[p] + H2O H2O[c] => ADP C10H12N5O10P2[c] + Coprogen[c] + H+[c] + Phosphate[c] 	G_b0151 and G_b0153 and G_b0152	  0.00	1000.00	  0.00
R_CPGNexs	Coprogen unloaded (no Fe(III))[e] + Iron (Fe3+)[e] => Coprogen[e] 	G_s0001	  0.00	1000.00	  0.00
R_CPGNtonex	Coprogen[e] + H+[p] => Coprogen[p] + H+[c] 	G_b1102 and G_b1252 and G_b3005 and G_b3006	  0.00	1000.00	  0.00
R_CPH4S	2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate[c] + H2O H2O[c] => Acetaldehyde[c] + 6-carboxy-5,6,7,8-tetrahydropterin[c] + H+[c] + Inorganic triphosphate[c] 	G_b2765	  0.00	1000.00	  0.00
R_CPL	?-D-ribose-1-methylphosphonate 5-phosphate[c] => Methane[c] + 5-phospho-?-D-ribose 1,2-cyclic phosphate[c] 	G_b4098	  0.00	1000.00	  0.00
R_CPMPS	GTP C10H12N5O14P3[c] + H2O H2O[c] => Cyclic pyranopterin monophosphate[c] + Diphosphate[c] 	G_b0783 and G_b0781	  0.00	1000.00	  0.00
R_CPPPGO	Coproporphyrinogen III[c] + 2 H+[c] + O2 O2[c] => 2 CO2 CO2[c] + 2 H2O H2O[c] + Protoporphyrinogen IX[c] 	G_b2436	  0.00	1000.00	  0.00
R_CPPPGO2	2 S-Adenosyl-L-methionine[c] + Coproporphyrinogen III[c] => 2 CO2 CO2[c] + 2 5'-Deoxyadenosine[c] + 2 L-Methionine[c] + Protoporphyrinogen IX[c] 	G_b3867	  0.00	1000.00	  0.00
