reaction_id,reaction_equation,dead_end_test,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox
4HBZt3pp,4hbz_c + h_p --> 4hbz_p + h_c,4hbz_p,ok,ok,ok,N/A
4HOXPACDtex,4hoxpacd_e <=> 4hoxpacd_p,4hoxpacd_e;4hoxpacd_p,ok,ok,ok,N/A
4HTHRA,4hthr_c <=> gcald_c + gly_c,only when going forwards,ok,ok,ok,N/A
4HTHRK,4hthr_c + atp_c --> adp_c + h_c + phthr_c,ok,ok,ok,ok,N/A
4PCP,LalaDgluMdapDala_c + h2o_c --> LalaDgluMdap_c + ala__D_c,ok,ok,ok,ok,N/A
4PCPpp,LalaDgluMdapDala_p + h2o_p --> LalaDgluMdap_p + ala__D_p,ok,ok,ok,ok,N/A
4PEPTabcpp,LalaDgluMdapDala_p + atp_c + h2o_c --> LalaDgluMdapDala_c + adp_c + h_c + pi_c,ok,ok,ok,ok,N/A
4PEPTtex,LalaDgluMdapDala_e <=> LalaDgluMdapDala_p,only when going forwards,ok,ok,ok,N/A
5DGLCNR,5dglcn_c + h_c + nadph_c --> glcn_c + nadp_c,ok,ok,ok,ok,N/A
5DGLCNt2rpp,5dglcn_p + h_p <=> 5dglcn_c + h_c,only when going forwards,ok,ok,ok,N/A
5DGLCNtex,5dglcn_e <=> 5dglcn_p,only when going forwards,ok,ok,ok,N/A
5DKGR,glcn_c + nad_c <=> 5dglcn_c + h_c + nadh_c,ok,ok,ok,ok,N/A
5DOAN,dad_5_c + h2o_c --> 5drib_c + ade_c,ok,ok,ok,ok,N/A
5MTRtex,5mtr_e <=> 5mtr_p,only when going forwards,ok,ok,ok,N/A
5MTRtpp,5mtr_c + h_c --> 5mtr_p + h_p,ok,ok,ok,ok,N/A
6D6SFK,atp_c + sf_c --> adp_c + h_c + sfp_c,sf_c;sfp_c,ok,ok,ok,N/A
6D6SPA,sfp_c --> dhap_c + sla_c,sfp_c;sla_c,ok,ok,ok,N/A
A5PISO,ru5p__D_c <=> ara5p_c,only when going backwards,ok,ok,ok,N/A
AACPS1,ACP_c + atp_c + ttdca_c --> amp_c + myrsACP_c + ppi_c,ok,ok,ok,ok,N/A
AACPS2,ACP_c + atp_c + ttdcea_c --> amp_c + ppi_c + tdeACP_c,ok,ok,ok,ok,N/A
AACPS3,ACP_c + atp_c + hdca_c --> amp_c + palmACP_c + ppi_c,ok,ok,ok,ok,N/A
AACPS4,ACP_c + atp_c + hdcea_c --> amp_c + hdeACP_c + ppi_c,ok,ok,ok,ok,N/A
AACPS5,ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,ok,ok,ok,ok,N/A
AACPS6,ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c,ok,ok,ok,ok,N/A
AACPS7,ACP_c + atp_c + ddca_c --> amp_c + ddcaACP_c + ppi_c,ok,ok,ok,ok,N/A
